	Bnigra_C2.v1.genes.filtered.gff	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered.gff	GCA_003260655.2_B_cretica_A_v2_genomic.filtered.gff	GCA_003260675.2_B_cretica_D_v2_genomic.filtered.gff	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered.gff	GCA_016771965.1_ASM1677196v1_genomic.filtered.gff	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered.gff	GCA_038677285.1_ASM3867728v1_genomic.filtered.gff	GCA_040550855.1_C4012_genomic.filtered.gff	GCA_040584065.1_ASM4058406v1_genomic.filtered.gff	GCA_900412535.3_brapa_z1_v2_genomic.filtered.gff	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered.gff	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GCF_020379485.1_Da-Ae_genomic.filtered.gff	GWHAAZX00000000.filtered.gff	GWHDTYM00000000.filtered.gff	GWHERGL00000000.filtered.gff	GWHERGM00000000.filtered.gff	OX_heart.filtered.gff
gene	65439.0	102856.0	63131.0	62722.0	39696.0	96708.0	65876.0	124769.0	103715.0	102226.0	93768.0	202405.0	49761.0	48584.0	113773.0	45960.0	50754.0	49083.0	49108.0	61869.0
mRNA	65439.0	99955.0	63131.0	62722.0	39696.0	96708.0	43070.0	124769.0	103731.0	102246.0	91290.0	188817.0	41359.0	43679.0	90785.0	45960.0	50754.0	49083.0	49108.0	61869.0
exon	289983.0	326261.0	251235.0	240988.0	204126.0	445096.0	294336.0	566605.0	474211.0	474211.0	284220.0	608360.0	253941.0	267841.0	560750.0	242640.0	242478.0	236859.0	238268.0	274992.0
CDS	289983.0	271437.0	250612.0	240171.0	196733.0	445096.0	246668.0	547219.0	474211.0	474211.0	237681.0	488332.0	208245.0	215322.0	439847.0	242640.0	242478.0	236859.0	238268.0	267988.0
region	0.0	3486.0	20.0	17.0	103.0	787.0	161.0	19.0	390.0	243.0	10.0	105.0	542.0	460.0	1846.0	0.0	0.0	0.0	0.0	0.0
five_prime_UTR	0.0	26831.0	637.0	741.0	31758.0	0.0	23473.0	61891.0	0.0	0.0	8879.0	61024.0	45963.0	41821.0	92575.0	1409.0	0.0	0.0	0.0	29010.0
three_prime_UTR	0.0	27078.0	469.0	659.0	28021.0	0.0	24195.0	57980.0	0.0	0.0	8964.0	63514.0	41698.0	36402.0	83160.0	1409.0	0.0	0.0	0.0	26093.0
RNA	0.0	2901.0	0.0	0.0	0.0	0.0	22806.0	0.0	0.0	0.0	2478.0	13588.0	1844.0	4409.0	9140.0	0.0	0.0	0.0	0.0	0.0
pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	20.0	0.0	0.0	1869.0	4434.0	9253.0	0.0	0.0	0.0	0.0	0.0
transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1473.0	922.0	2354.0	0.0	0.0	0.0	0.0	0.0
lnc_RNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4365.0	3917.0	9069.0	0.0	0.0	0.0	0.0	0.0
tRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1100.0	985.0	2594.0	0.0	0.0	0.0	0.0	0.0
snoRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1155.0	0.0	3579.0	0.0	0.0	0.0	0.0	0.0
snRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	344.0	0.0	0.0	0.0	0.0	0.0
rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1382.0	3.0	7260.0	0.0	0.0	0.0	0.0	0.0
primary_transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
inverted_repeat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
sequence_feature	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	426.0	0.0	0.0	0.0	0.0	0.0
repeat_region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
